date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,sunshine_total_min
Sat Jun 20 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,24.4,38.3,0,18.7,799
Sun Jun 21 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,25.6,37.2,0,16.6,687
Mon Jun 22 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,25,36.7,0,16.6,668
Tue Jun 23 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,25,36.7,0,16.6,668
Wed Jun 24 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,24.4,36.7,0,13,680
Thu Jun 25 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,25,36.7,0,7.6,580
Fri Jun 26 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,25,38.3,0,12.6,751
Sat Jun 27 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,26.1,36.1,2.5,13.3,444
Sun Jun 28 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,28.3,24.4,31.7,7.6,8.3,204
Mon Jun 29 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,24.4,36.1,0,12.2,486
Tue Jun 30 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,25.6,37.2,0,9,486
Wed Jul 01 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,25,36.1,0,11.9,807
Thu Jul 02 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,28.3,23.9,32.8,5.3,10.8,215
Fri Jul 03 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,27.8,25,30.6,15.5,10.8,70
Sat Jul 04 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,25.6,35.6,0,13.7,500
Sun Jul 05 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,23.9,37.2,0,11.9,791
Mon Jul 06 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,24.4,38.3,0,12.6,833
Tue Jul 07 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,24.4,36.1,0,13.7,725
Wed Jul 08 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,25.6,36.7,0,11.2,199
Thu Jul 09 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,26.1,37.2,0,13.7,760
Fri Jul 10 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,25,38.3,0,15.1,804
Sat Jul 11 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,32.2,25,39.4,0,13.3,808
Sun Jul 12 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,32.2,26.7,37.8,2,9,352
Mon Jul 13 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,23.9,38.3,0,8.3,682
Tue Jul 14 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30,22.8,37.2,0,7.9,607
Wed Jul 15 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,24.4,38.9,0,7.6,814
Thu Jul 16 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,32.2,25,39.4,0,10.1,718
